"crun","currID","force"
369,"JAZ_67","FORCE_46.21875_-90.03125"
370,"123397242","FORCE_46.21875_-89.34375"
371,"70333547","FORCE_45.84375_-89.78125"
372,"70330289","FORCE_46.15625_-89.34375"
373,"69884214","FORCE_46.21875_-89.90625"
374,"70335895","FORCE_45.65625_-89.65625"
375,"69883764","FORCE_46.28125_-89.96875"
376,"70330643","FORCE_46.09375_-89.28125"
377,"70331955","FORCE_45.96875_-89.71875"
378,"70336203","FORCE_45.59375_-89.40625"
379,"70333417","FORCE_45.84375_-89.90625"
380,"69884528","FORCE_46.15625_-89.78125"
381,"70333075","FORCE_45.84375_-89.71875"
382,"70333221","FORCE_45.84375_-89.84375"
383,"JAZ_198","FORCE_45.78125_-89.34375"
384,"70333827","FORCE_45.78125_-89.46875"
385,"70333571","FORCE_45.78125_-89.28125"
386,"123148157","FORCE_46.21875_-89.65625"
387,"69884682","FORCE_46.15625_-90.03125"
388,"70331585","FORCE_45.96875_-89.28125"
389,"70334603","FORCE_45.71875_-89.59375"
390,"77357718","FORCE_45.96875_-90.03125"
391,"JAZ_54","FORCE_46.21875_-90.09375"
392,"69885062","FORCE_46.15625_-89.84375"
393,"70335667","FORCE_45.65625_-89.34375"
394,"70331875","FORCE_45.96875_-89.65625"
395,"70332131","FORCE_45.90625_-89.71875"
396,"70335671","FORCE_45.65625_-89.53125"
397,"70335985","FORCE_45.59375_-89.53125"
398,"69886336","FORCE_46.03125_-89.65625"
399,"70335995","FORCE_45.59375_-89.59375"
400,"70332361","FORCE_45.90625_-89.40625"
401,"77357620","FORCE_46.03125_-90.21875"
402,"123397963","FORCE_46.21875_-89.46875"
403,"70330957","FORCE_46.03125_-89.09375"
404,"69885532","FORCE_46.09375_-89.84375"
405,"70330477","FORCE_46.15625_-89.21875"
406,"69886564","FORCE_46.03125_-89.90625"
407,"77357984","FORCE_45.90625_-89.96875"
408,"70332783","FORCE_45.84375_-89.28125"
409,"70333485","FORCE_45.78125_-89.28125"
410,"69885680","FORCE_46.09375_-89.65625"
411,"69884416","FORCE_46.15625_-89.71875"
412,"69884820","FORCE_46.15625_-89.84375"
413,"69884202","FORCE_46.21875_-89.90625"
414,"JAZ_36","FORCE_46.21875_-89.28125"
415,"69886852","FORCE_45.96875_-89.78125"
416,"123397353","FORCE_46.28125_-89.46875"
417,"123148031","FORCE_46.28125_-89.53125"
418,"69885512","FORCE_46.09375_-89.71875"
419,"70331373","FORCE_45.96875_-89.40625"
420,"123397695","FORCE_46.21875_-89.09375"
421,"JAZ_119","FORCE_46.09375_-89.78125"
422,"70333013","FORCE_45.84375_-89.21875"
423,"123147982","FORCE_46.28125_-89.71875"
424,"69885886","FORCE_46.09375_-89.78125"
425,"69885284","FORCE_46.09375_-89.71875"
426,"70333917","FORCE_45.78125_-89.40625"
427,"123147945","FORCE_46.28125_-89.78125"
428,"123148123","FORCE_46.21875_-89.65625"
429,"123397332","FORCE_46.28125_-89.46875"
430,"70332117","FORCE_45.90625_-89.53125"
431,"70334571","FORCE_45.71875_-89.65625"
432,"70332733","FORCE_45.90625_-89.59375"
433,"70331987","FORCE_45.90625_-89.34375"
434,"70331021","FORCE_46.03125_-89.34375"
435,"69886624","FORCE_45.96875_-89.59375"
436,"70331115","FORCE_46.03125_-89.40625"
437,"70332595","FORCE_45.90625_-89.71875"
438,"69884558","FORCE_46.15625_-89.90625"
439,"70332509","FORCE_45.90625_-89.40625"
440,"70332673","FORCE_45.90625_-89.78125"
441,"70332039","FORCE_45.90625_-89.34375"
442,"70330297","FORCE_46.15625_-89.28125"
443,"69883634","FORCE_46.28125_-89.96875"
444,"70333339","FORCE_45.84375_-89.90625"
445,"123147838","FORCE_46.28125_-89.90625"
446,"69883772","FORCE_46.28125_-89.90625"
447,"69886314","FORCE_46.03125_-89.96875"
448,"70334081","FORCE_45.78125_-89.71875"
449,"69886328","FORCE_46.03125_-90.21875"
450,"70334695","FORCE_45.71875_-89.65625"
451,"70334759","FORCE_45.71875_-89.59375"
452,"70335165","FORCE_45.71875_-89.59375"
453,"123148007","FORCE_46.28125_-89.71875"
454,"70332311","FORCE_45.90625_-89.46875"
455,"69886414","FORCE_46.03125_-89.71875"
456,"69885234","FORCE_46.09375_-89.96875"
457,"70330215","FORCE_46.15625_-89.15625"
458,"69885496","FORCE_46.09375_-89.90625"
459,"70331131","FORCE_46.03125_-89.09375"
460,"70333835","FORCE_45.78125_-89.59375"
461,"70334485","FORCE_45.71875_-89.59375"
462,"69883946","FORCE_46.21875_-89.96875"
463,"69885176","FORCE_46.09375_-89.59375"
464,"69886808","FORCE_45.96875_-89.78125"
465,"123397162","FORCE_46.28125_-89.53125"
466,"123147995","FORCE_46.28125_-89.65625"
467,"70332807","FORCE_45.90625_-89.71875"
468,"69884610","FORCE_46.15625_-89.40625"
469,"69886566","FORCE_45.96875_-89.65625"
470,"69886702","FORCE_45.96875_-89.84375"
471,"123147969","FORCE_46.28125_-89.71875"
472,"123397012","FORCE_46.28125_-89.21875"
473,"69886590","FORCE_46.03125_-89.96875"
474,"70333363","FORCE_45.78125_-89.03125"
475,"70331403","FORCE_45.96875_-89.40625"
476,"JAZ_0","FORCE_46.34375_-89.84375"
477,"123396742","FORCE_46.28125_-89.40625"
478,"123397745","FORCE_46.21875_-89.46875"
479,"70331795","FORCE_45.96875_-89.59375"
480,"70334419","FORCE_45.71875_-89.15625"
481,"70330881","FORCE_46.03125_-89.34375"
482,"JAZ_141","FORCE_46.03125_-89.09375"
483,"70336363","FORCE_45.59375_-89.40625"
484,"123397902","FORCE_46.21875_-89.15625"
485,"70331455","FORCE_45.96875_-89.34375"
486,"70334461","FORCE_45.71875_-89.34375"
487,"69886426","FORCE_46.03125_-90.03125"
488,"69886364","FORCE_46.03125_-89.84375"
489,"69886536","FORCE_46.03125_-89.78125"
490,"70335253","FORCE_45.65625_-89.46875"
491,"70332847","FORCE_45.84375_-89.65625"
492,"70335545","FORCE_45.65625_-89.46875"
493,"123398060","FORCE_46.15625_-89.34375"
494,"70333573","FORCE_45.78125_-89.21875"
495,"69886442","FORCE_46.03125_-89.78125"
496,"69884648","FORCE_46.15625_-90.15625"
497,"69885860","FORCE_46.09375_-89.71875"
498,"70335841","FORCE_45.65625_-89.53125"
499,"69884618","FORCE_46.15625_-89.59375"
500,"70334143","FORCE_45.71875_-89.28125"
501,"123396779","FORCE_46.28125_-89.28125"
502,"70335095","FORCE_45.71875_-89.46875"
503,"69883868","FORCE_46.21875_-89.90625"
504,"69886712","FORCE_45.96875_-89.84375"
505,"69885650","FORCE_46.09375_-89.59375"
506,"70330609","FORCE_46.09375_-89.21875"
507,"70335199","FORCE_45.71875_-89.59375"
508,"69886576","FORCE_46.03125_-89.90625"
509,"123397115","FORCE_46.21875_-89.15625"
510,"77357876","FORCE_45.96875_-89.96875"
511,"70332513","FORCE_45.84375_-89.09375"
512,"123398037","FORCE_46.21875_-89.46875"
513,"123398105","FORCE_46.15625_-89.40625"
514,"70333665","FORCE_45.84375_-89.84375"
515,"123147828","FORCE_46.28125_-89.71875"
516,"70332023","FORCE_45.90625_-89.34375"
517,"123148073","FORCE_46.28125_-89.78125"
518,"69886680","FORCE_46.03125_-89.84375"
519,"JAZ_148","FORCE_46.03125_-89.90625"
520,"77358138","FORCE_45.90625_-89.96875"
521,"70331081","FORCE_46.03125_-89.34375"
522,"70332859","FORCE_45.84375_-89.34375"
523,"77357976","FORCE_45.96875_-90.21875"
524,"70334335","FORCE_45.71875_-89.09375"
525,"70333425","FORCE_45.78125_-89.28125"
526,"69886806","FORCE_45.96875_-89.78125"
527,"70335423","FORCE_45.65625_-89.40625"
528,"JAZ_178","FORCE_45.90625_-89.21875"
529,"70330575","FORCE_46.09375_-88.96875"
530,"70331991","FORCE_45.90625_-89.09375"
531,"70335797","FORCE_45.59375_-89.34375"
532,"70334873","FORCE_45.71875_-89.40625"
533,"70332463","FORCE_45.90625_-89.59375"
534,"70332729","FORCE_45.84375_-89.15625"
535,"77357910","FORCE_45.96875_-90.21875"
536,"123148041","FORCE_46.28125_-89.65625"
537,"123398039","FORCE_46.21875_-89.40625"
538,"70335057","FORCE_45.71875_-89.46875"
539,"70336263","FORCE_45.59375_-89.40625"
540,"70333967","FORCE_45.78125_-89.40625"
541,"123147981","FORCE_46.28125_-89.59375"
542,"70333395","FORCE_45.78125_-89.15625"
543,"70332789","FORCE_45.90625_-89.84375"
544,"70332889","FORCE_45.84375_-89.71875"
545,"70332983","FORCE_45.84375_-89.78125"
546,"77358286","FORCE_45.84375_-89.90625"
547,"70335765","FORCE_45.65625_-89.53125"
548,"123147917","FORCE_46.28125_-89.78125"
549,"75473449","FORCE_45.90625_-88.96875"
550,"69885344","FORCE_46.09375_-90.21875"
551,"70336113","FORCE_45.59375_-89.46875"
552,"70332981","FORCE_45.84375_-89.28125"
553,"123147937","FORCE_46.28125_-89.59375"
554,"123148058","FORCE_46.21875_-89.59375"
555,"69884502","FORCE_46.15625_-89.71875"
556,"123148181","FORCE_46.21875_-89.59375"
557,"70332425","FORCE_45.90625_-89.65625"
558,"77357700","FORCE_45.96875_-90.15625"
559,"70334339","FORCE_45.71875_-89.34375"
560,"70330359","FORCE_46.15625_-89.21875"
561,"ZJH_8","FORCE_46.15625_-89.40625"
562,"70333567","FORCE_45.78125_-89.40625"
563,"JAZ_114","FORCE_46.09375_-89.40625"
564,"123148006","FORCE_46.28125_-89.53125"
565,"69885674","FORCE_46.09375_-89.71875"
566,"70331563","FORCE_45.96875_-89.46875"
567,"70336333","FORCE_45.59375_-89.53125"
568,"69884792","FORCE_46.15625_-89.84375"
569,"JAZ_70","FORCE_46.15625_-89.65625"
570,"70333201","FORCE_45.84375_-89.28125"
